,id,name,category,price,brand,rating,quantity,is_in_stock,created_at
60,41,Yoga Mat Premium Purple,Sports & Outdoors,39.99,FlexFit,4.5,70,TRUE,2/24/2024
61,44,Tennis Racket Lightweight,Sports & Outdoors,89.99,CourtAce,4.6,20,TRUE,2/27/2024
62,42,Water Bottle Stainless Steel,Sports & Outdoors,24.99,HydroFlask,4.7,85,TRUE,2/25/2024
63,48,Bike Helmet Safety Black,Sports & Outdoors,54.99,SafeRide,4.8,40,TRUE,3/2/2024
64,50,Hiking Boots Waterproof,Sports & Outdoors,119.99,MountainStep,4.9,25,TRUE,3/4/2024
65,69,Basketball Hoop Mini,Toys & Games,27.99,ShotMaker,4,45,TRUE,3/23/2024
66,67,Card Game Family Fun,Toys & Games,12.99,CardPlay,4.1,100,TRUE,3/21/2024
67,65,Remote Control Car Red,Toys & Games,49.99,SpeedToys,4.2,30,TRUE,3/19/2024
68,63,Action Figure Superhero,Toys & Games,19.99,HeroToys,4.3,80,TRUE,3/17/2024
69,64,Puzzle 1000 Pieces Nature,Toys & Games,24.99,PuzzleMaster,4.4,40,TRUE,3/18/2024
70,70,Art Supplies Drawing Set,Toys & Games,32.99,CreativeKids,4.5,35,TRUE,3/24/2024
71,61,Board Game Strategy Classic,Toys & Games,34.99,GameNight,4.6,50,TRUE,3/15/2024
72,66,Dollhouse Wooden Pink,Toys & Games,89.99,PlayHouse,4.7,20,TRUE,3/20/2024
73,62,Building Blocks Creative Set,Toys & Games,29.99,BuildFun,4.8,60,TRUE,3/16/2024
74,68,Science Experiment Kit,Toys & Games,39.99,LearnLab,4.9,25,TRUE,3/22/2024
